"","track_name","track_id","artist_name","duration_ms","popularity","explicit","album_name","album_id","release_date","playlist_name","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"74","25 million","2lUDBd7JrgAMltcp6dcd7D","Roddy Ricch",204626,67,TRUE,"LIVE LIFE FAST","1eVrpJbHRLBbioB9sb5b94",2021-12-17,"chasin paper",0.793,0.481,9,-9.258,1,0.124,0.019,1.09e-06,0.139,0.395,132.202,4
"75","Sandman","0qkA0NU7cDKWkFXNGRcNaB","A$AP Rocky",200160,64,TRUE,"LIVE.LOVE.A$AP","4l6EPpP9hjQrLb8qNB9eC5",2011-10-31,"chasin paper",0.533,0.501,8,-9.299,1,0.0436,0.143,0.000578,0.172,0.3,120.159,4
"76","Hot Boy","3CC5PxMdqgN1Urt1S28BSv","Lil Bam",170000,54,TRUE,"The Last Don","5kIs14orSgf4gPktMUG2SH",2020-11-26,"chasin paper",0.852,0.429,9,-12.282,0,0.529,0.145,0,0.101,0.649,164.047,4
"77","LLC (feat. Moneybagg Yo)","15OlC497ScJt9N2BS8lOev","Money Man",195153,65,TRUE,"Blockchain","7gVVCqQnGgybY3OTdkJuKY",2021-11-12,"chasin paper",0.803,0.495,11,-5.724,1,0.321,0.121,0,0.104,0.628,80.972,4
"78","Wolves (feat. Post Malone)","33gwZOGJWEZ7dRWPqPxBEZ","Big Sean",199758,76,TRUE,"Detroit 2","6slkiHeFK3wW2D1mao0TX3",2020-09-04,"chasin paper",0.724,0.675,2,-5.267,1,0.0867,0.0978,9.41e-06,0.351,0.325,160.048,4
"79","HOME","08hYZJIjLZwUVDiMzzeu0q","Mike Dimes",174915,64,TRUE,"IN DIMES WE TRUST","6iQuqlO95HG2WVqVh4jxRi",2022-03-08,"chasin paper",0.895,0.468,0,-5.777,0,0.378,0.342,0,0.213,0.428,118.019,4
"80","Iffy","3kfqYE0jGONOrkVpkPPOd5","Chris Brown",173549,58,TRUE,"Iffy","0XBvpjHN9Ljrta2iJWw3KR",2022-01-14,"chasin paper",0.415,0.83,6,-5.621,0,0.18,0.0144,0,0.14,0.485,194.746,4
"81","Luigi (feat. Chief Keef)","5GXzyfv0Qiumr8b7V8G4X6","2KBABY",201363,38,TRUE,"First Quarter","4LAiL2z5jIvFRvNSzzFBVG",2021-12-10,"chasin paper",0.708,0.459,7,-10.627,0,0.155,0.0478,0,0.352,0.57,73.97,4
"82","Diet Coke","3BMG9dnjNymT1OGUXQTAXl","Pusha T",179533,59,TRUE,"Diet Coke","6AmzYhYXSHDndclYdVsKeF",2022-02-08,"chasin paper",0.69,0.949,10,-3.13,0,0.379,0.124,0,0.0429,0.757,163.954,4
"83","Money Trees","2HbKqm4o0w5wEeEFXm2sD4","Kendrick Lamar",386906,79,TRUE,"good kid, m.A.A.d city","6PBZN8cbwkqm1ERj2BGXJ1",NA,"chasin paper",0.716,0.531,7,-7.355,1,0.122,0.0703,0,0.224,0.344,71.994,4
"84","Type a Way (feat. Chris Brown & OG Parker)","3wtbl8uMml7VgxaDEvGCJ7","Eric Bellinger",181102,61,TRUE,"The Rebirth 2","6ge7TzHO6gXdfxrtavSr69",2019-02-22,"chasin paper",0.777,0.545,6,-5.009,1,0.0686,0.0429,0,0.0751,0.68,75.01,4
